"page_id","0_triple_id","0_post_A","0_post_B","1_triple_id","1_post_A","1_post_B","2_triple_id","2_post_A","2_post_B","3_triple_id","3_post_A","3_post_B","4_triple_id","4_post_A","4_post_B","5_triple_id","5_post_A","5_post_B","6_triple_id","6_post_A","6_post_B"
"1","5591","post_0","post_2","5977","post_1","post_2","2320","post_0","post_2","754","post_0","post_1","5796","post_0","post_1","3276","post_0","post_2","1391","post_0","post_2"
"2","1828","post_0","post_1","2904","post_0","post_2","6056","post_0","post_1","2167","post_0","post_1","3978","post_1","post_2","2496","post_0","post_1","1017","post_0","post_1"
"3","4395","post_0","post_2","1483","post_0","post_2","4789","post_0","post_2","1273","post_0","post_2","3584","post_0","post_1","2474","post_0","post_2","1418","post_0","post_2"
"4","588","post_0","post_1","4982","post_0","post_1","5345","post_0","post_2","6575","post_0","post_2","6359","post_1","post_2","66","post_0","post_2","3191","post_1","post_2"
"5","2456","post_1","post_2","1632","post_0","post_2","5505","post_1","post_2","5926","post_0","post_2","893","post_0","post_2","5221","post_0","post_2","5968","post_0","post_1"
"6","4244","post_1","post_2","4826","post_0","post_1","1132","post_0","post_2","5913","post_0","post_2","4609","post_1","post_2","4838","post_0","post_1","1557","post_0","post_2"
"7","4642","post_1","post_2","2179","post_0","post_1","3462","post_0","post_2","489","post_0","post_1","2613","post_1","post_2","5993","post_0","post_2","408","post_1","post_2"
"8","1232","post_0","post_1","2060","post_0","post_1","335","post_1","post_2","5305","post_0","post_1","3797","post_0","post_2","4818","post_0","post_2","1377","post_1","post_2"
"9","3832","post_0","post_1","1924","post_0","post_1","108","post_1","post_2","5236","post_0","post_1","4431","post_0","post_1","2869","post_0","post_1","1451","post_0","post_2"
"10","3654","post_1","post_2","2241","post_0","post_2","2622","post_0","post_1","824","post_1","post_2","6753","post_0","post_2","1367","post_1","post_2","6598","post_0","post_1"
"11","6344","post_1","post_2","4370","post_0","post_1","3063","post_1","post_2","5856","post_0","post_2","6003","post_1","post_2","3641","post_0","post_1","6245","post_0","post_1"
"12","1773","post_0","post_2","1870","post_0","post_1","4553","post_0","post_1","5018","post_0","post_2","4834","post_0","post_2","6198","post_0","post_1","473","post_0","post_1"
"13","3054","post_1","post_2","1623","post_1","post_2","606","post_0","post_1","5379","post_1","post_2","3068","post_0","post_2","2870","post_1","post_2","5007","post_1","post_2"
"14","1998","post_0","post_1","1746","post_0","post_2","491","post_0","post_1","3716","post_1","post_2","2609","post_0","post_2","403","post_1","post_2","4501","post_1","post_2"
"15","2307","post_0","post_2","2779","post_0","post_2","1102","post_0","post_2","4089","post_0","post_2","5803","post_0","post_2","4974","post_0","post_2","2860","post_0","post_2"
"16","68","post_0","post_1","4340","post_0","post_1","5617","post_0","post_2","4165","post_0","post_1","4922","post_0","post_1","2408","post_1","post_2","4695","post_0","post_1"
"17","4145","post_1","post_2","5759","post_0","post_2","5147","post_0","post_2","125","post_0","post_1","341","post_0","post_2","1274","post_1","post_2","1668","post_0","post_1"
"18","5202","post_0","post_1","676","post_0","post_1","535","post_0","post_1","6020","post_0","post_1","2211","post_1","post_2","47","post_0","post_1","3530","post_0","post_2"
"19","1234","post_0","post_2","6097","post_0","post_1","1990","post_0","post_1","3319","post_1","post_2","6724","post_1","post_2","2228","post_1","post_2","4086","post_1","post_2"
"20","6119","post_0","post_1","393","post_1","post_2","4866","post_0","post_1","3258","post_1","post_2","1855","post_0","post_2","1749","post_0","post_2","2259","post_0","post_2"
"21","2344","post_0","post_2","2267","post_1","post_2","5609","post_0","post_1","275","post_0","post_1","4167","post_0","post_2","4742","post_0","post_2","551","post_0","post_1"
"22","3442","post_0","post_2","6084","post_0","post_2","1828","post_0","post_2","1348","post_0","post_1","3917","post_0","post_2","3861","post_0","post_2","4557","post_0","post_1"
"23","199","post_0","post_2","5386","post_1","post_2","972","post_1","post_2","137","post_0","post_1","1359","post_1","post_2","125","post_0","post_2","3891","post_0","post_1"
"24","3649","post_0","post_1","6150","post_0","post_2","3757","post_0","post_2","5092","post_1","post_2","3492","post_1","post_2","4750","post_0","post_2","6727","post_0","post_1"
"25","4386","post_0","post_2","6722","post_0","post_2","1090","post_0","post_1","5982","post_0","post_1","2607","post_1","post_2","3593","post_0","post_1","3721","post_0","post_2"
"26","387","post_0","post_1","4187","post_0","post_1","2909","post_0","post_2","6176","post_0","post_2","690","post_0","post_2","946","post_1","post_2","3961","post_0","post_2"
"27","5757","post_0","post_1","777","post_0","post_1","2625","post_0","post_2","4508","post_0","post_1","5547","post_1","post_2","721","post_0","post_2","593","post_0","post_1"
"28","2584","post_0","post_1","5345","post_0","post_1","91","post_0","post_1","6151","post_0","post_2","5487","post_0","post_1","243","post_1","post_2","1497","post_0","post_1"
"29","1866","post_0","post_2","3192","post_0","post_2","4714","post_0","post_1","5369","post_0","post_1","5580","post_0","post_1","6506","post_0","post_1","2133","post_0","post_1"
