topic,discussion_id,author,pro,anti,other
"evolution",3716,"Perry5",5,3,0
"evolution",3716,"billsco",6,0,2
"evolution",3716,"pnac=ww3",6,2,0
"evolution",3716,"Dzeron",6,1,1
"evolution",3716,"Alan Ryan",3,3,2
"evolution",3716,"EvilDave",7,1,0
"evolution",3716,"joebrummer",7,1,0
"evolution",3716,"Devils Advocate",3,5,0
"evolution",3716,"Clive14",5,1,2
"evolution",3716,"Nu Leader",2,6,0
"evolution",3716,"Mach",6,0,2
"evolution",3716,"pandion",6,2,0
"evolution",3716,"OccamsRazor",6,2,0
"evolution",3716,"jim's trucking",5,3,0
"evolution",3716,"Phaedrus",6,1,1
"evolution",3716,"supergrunt",5,1,2
"evolution",339,"Cuchulainn",3,0,0
"evolution",339,"obvious_child",2,1,0
"evolution",339,"Archangel",0,3,0
"evolution",339,"lesz",3,0,0
"evolution",339,"Pie",1,2,0
"evolution",339,"ShadowPikachu",2,0,1
"evolution",339,"panda",0,0,3
"evolution",339,"dichotomy?",2,1,0
"evolution",339,"Benjamin",0,3,0
"evolution",339,"debategirl88",0,3,0
"evolution",339,"feindslayer",0,3,0
"evolution",339,"T.Q",1,0,2
"evolution",339,"Klown",2,1,0
"evolution",339,"Taiyles",3,0,0
"evolution",339,"lurch",2,1,0
"evolution",339,"Foxtuba",3,0,0
"evolution",339,"chemist99a",3,0,0
"evolution",339,"Gabor",1,2,0
"evolution",339,"fromderinside",2,1,0
"evolution",339,"GiantOreo",3,0,0
"evolution",339,"sarablaze",1,1,1
"evolution",339,"johnhanks",3,0,0
"evolution",339,"Crim",2,1,0
"evolution",339,"sinjin",3,0,0
"evolution",339,"Orcinus",3,0,0
"evolution",339,"Hi_Its_Me",3,0,0
"evolution",339,"Unriggable",3,0,0
"evolution",339,"Marijuanifornia",2,1,0
"evolution",339,"thejohn",1,2,0
"evolution",339,"Karl",3,0,0
"evolution",339,"Ripskar",3,0,0
"evolution",339,"Calligirl",2,1,0
"evolution",339,"FreeThinker",0,3,0
"evolution",339,"papabryant",0,3,0
"evolution",339,"ghettocracka",3,0,0
"evolution",10144,"Archangel",0,7,0
"evolution",10144,"Count Otto",6,1,0
"evolution",10144,"Liminus",6,1,0
"evolution",10144,"charlie horse",6,1,0
"evolution",10144,"Fishbulb",3,3,1
"evolution",10144,"Unriggable",4,3,0
"evolution",10144,"ShadowPikachu",5,1,1
"evolution",10144,"T.Q",6,1,0
"evolution",10144,"Kronus",6,1,0
"evolution",10144,"supersport",0,6,1
"evolution",10144,"Big_Bear_Scot",6,1,0
"evolution",10144,"Steeeeve",1,4,2
"evolution",10144,"pandion",6,1,0
"evolution",10144,"Antibogotes",4,2,1
"evolution",10144,"Waxy",6,1,0
"evolution",10144,"chemist99a",6,1,0
"evolution",10144,"smiley",5,1,1
"evolution",10144,"trebor",6,1,0
"evolution",10144,"GiantOreo",5,1,1
"evolution",10144,"daewoo",6,1,0
"evolution",10144,"Hi_Its_Me",6,1,0
"evolution",10144,"EDO",0,7,0
"evolution",10144,"Mucusaur",6,1,0
"evolution",10144,"Ripskar",5,1,1
"evolution",10144,"GazzaElliott",2,1,4
"evolution",10144,"snakespit",6,1,0
"evolution",5395,"peddler8111",4,4,0
"evolution",5395,"Nwarth",8,0,0
"evolution",5395,"johnson",6,2,0
"evolution",5395,"Obvious Child",6,1,1
"evolution",5395,"gnojek",8,0,0
"evolution",5395,"thebootfitter",5,0,3
"evolution",5395,"Beowulf Lee",5,0,3
"evolution",5395,"Tastyfish",7,1,0
"evolution",5395,"pandion",8,0,0
"evolution",5395,"unkerpaulie",8,0,0
"evolution",5395,"OccamsRazor",5,2,1
"evolution",5395,"Clive14",8,0,0
"evolution",5395,"Mucusaur",6,0,2
"evolution",5395,"Close_slave_can",6,2,0
"evolution",5395,"Eddie",1,3,4
"evolution",5395,"Karl",5,1,2
"evolution",2739,"Duo_Maxwell",7,0,0
"evolution",2739,"Waxy",2,1,4
"evolution",2739,"The Barbarian",7,0,0
"evolution",2739,"T.Q",7,0,0
"evolution",2739,"Kronus",5,1,1
"evolution",2739,"Nu Leader",1,6,0
"evolution",2739,"Selasphorus",2,2,3
"evolution",2739,"gazdata",6,1,0
"evolution",2739,"lampornis",7,0,0
"evolution",2739,"montalban",2,5,0
