"key","discussion_id","agree-disagree","agreement","agreement_unsure","attack","attack_unsure","defeater-undercutter","defeater-undercutter_unsure","fact-feeling","fact-feeling_unsure","negotiate-attack","negotiate-attack_unsure","nicenasty","nicenasty_unsure","personal-audience","personal-audience_unsure","questioning-asserting","questioning-asserting_unsure","sarcasm","sarcasm_unsure"
"(731, 1)",6032,0.333333333333,-1.33333333333,0.333333333333,0.333333333333,0.0,0.5,0.0,0.333333333333,0.333333333333,3.0,0.25,0.666666666667,0.166666666667,-2.25,0.25,-4.25,0.0,0.2,0.166666666667
"(660, 3)",10217,0.6,0.285714285714,0.0,0.714285714286,0.0,-2.5,0.0,1.0,0.0,-2.0,0.0,1.14285714286,0.0,-1.5,0.0,0.5,0.0,0.142857142857,0.0
"(114, 5)",3462,0.6,-1.5,0.0,1.33333333333,0.0,1.0,0.0,1.5,0.0,-1.5,0.0,2.16666666667,0.0,-4.0,0.0,-1.5,0.0,0.0,0.0
"(43, 3)",9930,0.166666666667,-0.833333333333,0.333333333333,1.5,0.0,0.4,0.0,1.5,0.166666666667,-2.0,0.0,1.66666666667,0.0,-2.8,0.0,0.0,0.0,0.0,0.0
"(1314, 0)",5352,0.142857142857,-1.66666666667,0.166666666667,0.0,0.166666666667,-1.16666666667,0.166666666667,-0.833333333333,0.333333333333,0.833333333333,0.333333333333,0.166666666667,0.166666666667,-3.33333333333,0.166666666667,-0.166666666667,0.166666666667,0.6,0.166666666667
"(450, 3)",10343,0.0,-3.4,0.0,-2.4,0.0,-0.6,0.0,-1.0,0.0,0.8,0.0,-2.2,0.0,-2.4,0.0,-2.4,0.0,0.6,0.0
"(697, 2)",5205,0.833333333333,-2.4,0.0,-0.6,0.0,-5.0,0.0,-2.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0
"(811, 6)",9510,0.5,-0.6,0.4,-0.4,0.4,3.33333333333,0.0,-1.4,0.4,3.33333333333,0.0,-0.6,0.2,-2.66666666667,0.0,-3.66666666667,0.0,0.5,0.2
"(9, 0)",9449,0.4,0.6,0.2,2.4,0.2,-2.66666666667,0.0,2.8,0.2,-3.66666666667,0.0,2.2,0.2,0.333333333333,0.0,3.66666666667,0.0,0.0,0.2
"(1367, 5)",4808,0.142857142857,-4.25,0.0,-2.5,0.0,-2.5,0.166666666667,-1.75,0.0,3.16666666667,0.166666666667,-1.25,0.0,-3.83333333333,0.0,1.0,0.166666666667,0.25,0.0
"(1136, 1)",4129,0.142857142857,-2.0,0.0,-0.166666666667,0.0,3.16666666667,0.0,-1.33333333333,0.0,-0.166666666667,0.0,0.333333333333,0.0,-2.83333333333,0.0,-2.66666666667,0.0,0.5,0.0
"(848, 1)",5352,0.666666666667,-2.33333333333,0.0,-1.0,0.0,2.0,0.0,-0.666666666667,0.0,1.5,0.0,-0.666666666667,0.0,-3.0,0.0,-2.0,0.0,0.5,0.333333333333
"(1392, 0)",4337,0.625,-1.0,0.4,0.6,0.2,-1.33333333333,0.0,0.0,0.2,-4.0,0.0,1.0,0.2,4.33333333333,0.0,2.0,0.333333333333,0.0,0.6
"(1111, 0)",12041,0.2,-0.8,0.0,2.2,0.0,-1.0,0.0,1.8,0.0,-3.0,0.0,2.6,0.0,0.25,0.0,-0.75,0.0,0.0,0.0
"(247, 1)",4240,0.333333333333,-2.0,0.0,-1.66666666667,0.166666666667,-2.5,0.0,-2.5,0.166666666667,1.75,0.0,-0.166666666667,0.0,-3.0,0.0,0.5,0.0,0.166666666667,0.0
"(1333, 6)",3716,0.285714285714,-1.2,0.0,2.2,0.0,-1.2,0.0,0.0,0.0,-0.4,0.0,2.2,0.2,-2.6,0.0,3.4,0.0,0.0,0.2
"(160, 3)",9978,0.4,-3.8,0.2,2.4,0.2,0.666666666667,0.0,1.8,0.2,-3.66666666667,0.0,2.2,0.2,-2.0,0.0,-1.33333333333,0.0,0.0,0.2
"(1278, 3)",228,0.75,0.0,0.166666666667,0.5,0.333333333333,-2.0,0.0,-0.166666666667,0.333333333333,-3.0,0.0,0.666666666667,0.166666666667,-3.0,0.0,1.0,0.0,0.25,0.333333333333
"(592, 6)",9444,0.285714285714,-1.2,0.0,0.0,0.0,0.8,0.0,0.2,0.0,-1.2,0.0,0.8,0.2,-1.6,0.0,2.4,0.0,0.0,0.4
"(645, 4)",11518,0.333333333333,-2.6,0.0,-2.8,0.0,-1.5,0.0,-2.4,0.0,-0.5,0.0,-2.6,0.0,-1.75,0.0,3.0,0.0,0.2,0.0
"(830, 0)",10228,0.166666666667,-1.2,0.0,0.0,0.0,-0.2,0.0,1.2,0.0,-1.6,0.0,-0.8,0.2,-0.6,0.0,1.6,0.0,0.0,0.0
"(1077, 1)",3467,0.4,-4.33333333333,0.0,-3.5,0.0,-4.66666666667,0.0,-3.16666666667,0.0,-0.666666666667,0.0,-3.16666666667,0.0,-2.0,0.0,3.0,0.0,0.166666666667,0.0
