"discussion_id","key","resampled"
13897,"(139, 1)",True
1056,"(261, 5)",True
10046,"(721, 4)",True
10418,"(40, 1)",True
13158,"(579, 6)",True
13395,"(1065, 3)",True
14515,"(499, 2)",True
12141,"(90, 6)",True
10129,"(105, 6)",True
5061,"(521, 1)",True
999,"(593, 5)",True
13395,"(279, 3)",True
6452,"(754, 1)",True
401,"(1310, 5)",True
8782,"(1096, 1)",True
6355,"(956, 6)",True
12284,"(1283, 3)",True
887,"(656, 5)",True
8926,"(937, 2)",True
8926,"(1282, 0)",True
3700,"(365, 2)",True
12676,"(1372, 3)",True
10301,"(916, 6)",True
6627,"(600, 3)",True
1287,"(274, 2)",True
3462,"(808, 5)",True
1196,"(1403, 5)",True
13557,"(681, 5)",True
8292,"(470, 6)",True
12041,"(308, 2)",True
3149,"(1424, 3)",True
12994,"(1117, 2)",True
10097,"(910, 2)",True
12959,"(727, 1)",True
6744,"(1150, 1)",True
13780,"(770, 2)",True
6032,"(1047, 1)",True
5305,"(621, 3)",True
12193,"(620, 4)",True
5406,"(405, 0)",True
3149,"(256, 1)",True
5537,"(26, 6)",True
4468,"(44, 1)",True
58,"(503, 5)",True
5022,"(1158, 2)",True
12528,"(941, 3)",True
4337,"(1172, 1)",True
8017,"(919, 2)",True
3462,"(705, 6)",True
14474,"(1150, 0)",True
12310,"(781, 3)",True
1705,"(1410, 0)",True
5026,"(1369, 2)",True
13311,"(1188, 5)",True
8706,"(553, 1)",True
6883,"(1152, 1)",True
7927,"(666, 4)",True
12154,"(467, 1)",True
13158,"(1358, 6)",True
2134,"(1366, 5)",True
10837,"(639, 5)",True
5009,"(1002, 4)",True
9437,"(1081, 4)",True
7442,"(774, 3)",True
6369,"(664, 1)",True
11809,"(319, 6)",True
2434,"(11, 3)",True
1390,"(928, 3)",True
6729,"(1099, 4)",True
5769,"(113, 2)",True
1217,"(1250, 3)",True
13691,"(222, 2)",True
11293,"(634, 4)",True
12141,"(962, 6)",True
12310,"(660, 1)",True
9432,"(1238, 4)",True
5121,"(1007, 6)",True
12141,"(861, 6)",True
11843,"(927, 2)",True
2853,"(328, 2)",True
12552,"(643, 5)",True
8757,"(616, 5)",True
5769,"(802, 3)",True
4338,"(1379, 3)",True
7480,"(323, 3)",True
8753,"(1169, 6)",True
8978,"(1149, 2)",True
12706,"(920, 4)",True
2510,"(405, 4)",True
9194,"(713, 0)",True
9491,"(499, 3)",True
10933,"(255, 4)",True
12674,"(687, 1)",True
260,"(1302, 4)",True
11999,"(746, 1)",True
4779,"(101, 6)",True
13311,"(918, 6)",True
8284,"(667, 4)",True
49,"(729, 3)",True
12520,"(604, 0)",True
4528,"(929, 4)",True
9328,"(634, 5)",True
390,"(584, 2)",True
13158,"(197, 1)",True
2154,"(190, 3)",True
195,"(1277, 0)",True
5480,"(206, 2)",True
10968,"(618, 3)",True
56,"(1406, 3)",True
3462,"(1383, 6)",True
9192,"(1362, 6)",True
760,"(875, 0)",True
13245,"(560, 1)",True
12994,"(209, 1)",True
5962,"(603, 4)",True
8753,"(21, 5)",True
1884,"(213, 3)",True
11117,"(217, 5)",True
13826,"(1118, 2)",True
8809,"(724, 2)",True
2434,"(837, 2)",True
3982,"(690, 5)",True
12736,"(575, 1)",True
12284,"(192, 3)",True
8587,"(384, 3)",True
5491,"(703, 4)",True
13487,"(611, 6)",True
7848,"(646, 2)",True
2853,"(493, 6)",True
8476,"(1216, 4)",True
3733,"(1101, 5)",True
10301,"(156, 5)",True
3237,"(1071, 4)",True
710,"(1162, 2)",True
654,"(116, 4)",True
13465,"(477, 1)",True
1497,"(83, 3)",True
14409,"(1137, 3)",True
10863,"(785, 6)",True
10648,"(1255, 0)",True
9483,"(560, 2)",True
10418,"(103, 1)",True
8809,"(105, 2)",True
5480,"(261, 3)",True
14262,"(1285, 6)",True
9941,"(1320, 2)",True
14063,"(1213, 4)",True
11164,"(427, 6)",True
472,"(1417, 2)",True
12628,"(417, 4)",True
14424,"(894, 2)",True
12933,"(342, 1)",True
228,"(1103, 2)",True
8701,"(1253, 6)",True
12023,"(279, 1)",True
4531,"(180, 3)",True
4656,"(852, 4)",True
4080,"(885, 2)",True
12141,"(1368, 6)",True
102,"(1392, 5)",True
14,"(321, 0)",True
13380,"(12, 3)",True
5009,"(1371, 6)",True
3371,"(488, 0)",True
339,"(1008, 0)",True
7480,"(863, 4)",True
9376,"(114, 2)",True
401,"(1121, 6)",True
11648,"(382, 1)",True
3714,"(370, 1)",True
10249,"(1254, 3)",True
3714,"(44, 2)",True
11999,"(352, 0)",True
1651,"(1116, 2)",True
11684,"(919, 0)",True
11524,"(806, 2)",True
4625,"(857, 3)",True
4644,"(199, 5)",True
12518,"(503, 4)",True
1586,"(813, 3)",True
14515,"(846, 0)",True
12193,"(339, 5)",True
9328,"(453, 0)",True
12819,"(1089, 2)",True
8757,"(1162, 0)",True
2197,"(650, 5)",True
9014,"(412, 4)",True
9437,"(1169, 4)",True
5491,"(815, 1)",True
9391,"(631, 3)",True
11709,"(1343, 3)",True
12736,"(1364, 2)",True
5491,"(972, 0)",True
9565,"(202, 4)",True
1559,"(908, 4)",True
10332,"(825, 3)",True
3321,"(1379, 4)",True
3839,"(998, 1)",True
3392,"(813, 5)",True
9769,"(133, 4)",True
5465,"(767, 5)",True
13481,"(875, 6)",True
8782,"(261, 2)",True
5565,"(1330, 1)",True
10348,"(882, 3)",True
5009,"(1025, 4)",True
11757,"(546, 0)",True
3321,"(420, 5)",True
760,"(1387, 3)",True
760,"(147, 3)",True
1390,"(31, 5)",True
11529,"(1175, 5)",True
3462,"(1162, 4)",True
14057,"(1035, 0)",True
12023,"(1214, 0)",True
12736,"(153, 0)",True
2492,"(1200, 4)",True
9211,"(491, 6)",True
12652,"(1274, 0)",True
4103,"(197, 5)",True
1792,"(189, 6)",True
13982,"(922, 3)",True
12389,"(726, 0)",True
11117,"(817, 6)",True
3321,"(1296, 3)",True
576,"(705, 5)",True
6032,"(65, 2)",True
11373,"(449, 5)",True
