"key","discussion_id","worker_id","agreement","agreement_unsure","attack","attack_unsure","fact-feeling","fact-feeling_unsure","nicenasty","nicenasty_unsure","sarcasm"
"(731, 1)",6032,"A2P8XDALGST5YT",-3,False,1,False,0,True,1,False,"Unsure"
"(731, 1)",6032,"A2GG12OU3AO26N",-2,False,3,False,0,False,0,True,"No"
"(731, 1)",6032,"AFC23NDG41MI5",-2,False,-2,False,2,False,2,False,"No"
"(731, 1)",6032,"AWCCY9UU171TO",-1,False,-1,False,-2,False,0,False,"No"
"(731, 1)",6032,"AGPWUZJY43E0J",0,True,2,False,2,False,2,False,"No"
"(731, 1)",6032,"A3HSFRJPM3E89Z",0,True,-1,False,0,True,-1,False,"Yes"
"(660, 3)",10217,"A2P8XDALGST5YT",-1,False,3,False,1,False,2,False,"No"
"(660, 3)",10217,"A2MWAXV1YRK5GH",5,False,1,False,2,False,1,False,"No"
"(660, 3)",10217,"A2MR259UZRESDS",4,False,4,False,3,False,4,False,"No"
"(660, 3)",10217,"A2Z2CVOBYA74B0",-5,False,-5,False,-5,False,-5,False,"Yes"
"(660, 3)",10217,"AFC23NDG41MI5",-2,False,-2,False,2,False,2,False,"No"
"(660, 3)",10217,"A1BS484S0O76YT",4,False,3,False,3,False,3,False,"No"
"(660, 3)",10217,"A3QU3KM3IYWHIF",-3,False,1,False,1,False,1,False,"No"
"(114, 5)",3462,"A36CP7G5OZY030",0,False,5,False,5,False,5,False,"No"
"(114, 5)",3462,"AHH34KPTA2LSS",-3,False,1,False,-3,False,2,False,"No"
"(114, 5)",3462,"A1B2KIB7DPC2PR",-2,False,2,False,2,False,2,False,"No"
"(114, 5)",3462,"A36JZTUKQVV5S5",-2,False,1,False,0,False,4,False,"No"
"(114, 5)",3462,"A3P7PPQA3EU1H3",1,False,1,False,3,False,1,False,"No"
"(114, 5)",3462,"AMID7O126S33V",-3,False,-2,False,2,False,-1,False,"No"
"(43, 3)",9930,"A1PX84H2DRK14I",-1,False,1,False,2,False,-1,False,"No"
"(43, 3)",9930,"A1WP5QP1R1GT7B",0,True,0,False,4,False,0,False,"No"
"(43, 3)",9930,"A3OZ3M6SRO2QNO",0,True,4,False,0,True,5,False,"No"
"(43, 3)",9930,"ASX2NOUVA9CRH",2,False,5,False,0,False,5,False,"No"
"(43, 3)",9930,"AMID7O126S33V",-2,False,-3,False,3,False,-1,False,"No"
"(43, 3)",9930,"A17IWKV4G3N25X",-4,False,2,False,0,False,2,False,"No"
"(1314, 0)",5352,"A16JBVCS2AR93F",1,False,1,False,1,False,0,False,"No"
"(1314, 0)",5352,"A2UV2P8JZV9UW1",-3,False,0,False,-1,True,1,False,"Yes"
"(1314, 0)",5352,"A17IWKV4G3N25X",-5,False,0,False,0,False,0,False,"Yes"
"(1314, 0)",5352,"AMID7O126S33V",-1,False,2,False,-2,False,2,False,"No"
"(1314, 0)",5352,"A14NJ0E25UM25Q",0,True,0,True,0,True,0,True,"Unsure"
