"key","discussion_id","worker_id","agree-disagree","defeater-undercutter","defeater-undercutter_unsure","negotiate-attack","negotiate-attack_unsure","personal-audience","personal-audience_unsure","questioning-asserting","questioning-asserting_unsure"
"(731, 1)",6032,"A3C9A382KUWMS0","Disagree",-5,False,3,False,-5,False,-5,False
"(731, 1)",6032,"A3U56TETPW3V20","Disagree",4,False,4,False,-4,False,-4,False
"(731, 1)",6032,"A203X2OZ4XS5C0","Disagree",5,False,0,True,0,True,-5,False
"(731, 1)",6032,"A3V1TPS1MLB5YV","Disagree",-2,False,5,False,0,False,-3,False
"(731, 1)",6032,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(731, 1)",6032,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(660, 3)",10217,"A18JQFU6QCTI6G","Disagree",-3,False,-4,False,-3,False,1,False
"(660, 3)",10217,"A32LCM1ZARQLOG","Agree","","","","","","","",""
"(660, 3)",10217,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(660, 3)",10217,"A2O9ZPGNNBSH00","Disagree",-2,False,0,False,0,False,0,False
"(660, 3)",10217,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(114, 5)",3462,"A3NOO9K3CY1YU5","Disagree",0,False,0,False,-3,False,0,False
"(114, 5)",3462,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(114, 5)",3462,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(114, 5)",3462,"A36JZTUKQVV5S5","Disagree",2,False,-3,False,-5,False,-3,False
"(114, 5)",3462,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(43, 3)",9930,"A1IMICF9ISISZN","Disagree",-5,False,2,False,-5,False,3,False
"(43, 3)",9930,"A1088Y6EZ4IGNI","Disagree",5,False,-2,False,-5,False,-5,False
"(43, 3)",9930,"A2ZHR3REBFEM5A","Disagree",3,False,-3,False,-3,False,-2,False
"(43, 3)",9930,"A1NBYKBMZYXYZL","Disagree",4,False,-2,False,4,False,-1,False
"(43, 3)",9930,"AWGLY2Q18H4V4","Disagree",-5,False,-5,False,-5,False,5,False
"(43, 3)",9930,"A2SG3RMGIDQTWT","Agree","","","","","","","",""
"(1314, 0)",5352,"A6Y7BLDK90Q19","Disagree",0,False,1,False,-3,False,0,False
"(1314, 0)",5352,"A2LV5QYHH24OMY","Disagree",-4,False,1,False,-4,False,-3,False
"(1314, 0)",5352,"AZ8RYHKONKOCB","Agree","","","","","","","",""
"(1314, 0)",5352,"A1WBDABVNFU4ZN","Disagree",-5,False,0,True,-5,False,5,False
"(1314, 0)",5352,"A21AKIQ5VH41TA","Disagree",-3,False,-2,False,-3,False,2,False
"(1314, 0)",5352,"A37XVHGR4ZSTSM","Disagree",5,False,5,False,-5,False,-5,False
"(1314, 0)",5352,"A3HSFRJPM3E89Z","Disagree",0,True,0,True,0,True,0,True
"(450, 3)",10343,"A10GCI84NSKYM","Disagree",-4,False,4,False,-5,False,-4,False
"(450, 3)",10343,"A3AH8UT0TCYMUG","Disagree",4,False,1,False,-5,False,-4,False
"(450, 3)",10343,"A2SG3RMGIDQTWT","Disagree",4,False,-3,False,4,False,-3,False
"(450, 3)",10343,"A3IJI5VFWLI7DA","Disagree",-5,False,0,False,-4,False,2,False
"(450, 3)",10343,"A3D1E4E0Y2MN5F","Disagree",-2,False,2,False,-2,False,-3,False
"(697, 2)",5205,"A3NAZZEBINRI7Q","Disagree",-5,False,2,False,0,False,-2,False
"(697, 2)",5205,"AZ8RYHKONKOCB","Agree","","","","","","","",""
"(697, 2)",5205,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(697, 2)",5205,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(697, 2)",5205,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(697, 2)",5205,"A6Y7BLDK90Q19","Agree","","","","","","","",""
"(811, 6)",9510,"A32LCM1ZARQLOG","Disagree",2,False,2,False,-2,False,-3,False
"(811, 6)",9510,"A1UDQV4PUFYPKN","Agree","","","","","","","",""
"(811, 6)",9510,"A17Q2CTSOVDMOS","Disagree",3,False,3,False,-3,False,-3,False
"(811, 6)",9510,"A3GO5L86SKLUIK","Disagree",5,False,5,False,-3,False,-5,False
"(811, 6)",9510,"A6Y7BLDK90Q19","Agree","","","","","","","",""
"(811, 6)",9510,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(9, 0)",9449,"APFE0NBU7J08E","Disagree",1,False,-1,False,1,False,1,False
"(9, 0)",9449,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(9, 0)",9449,"A2VC5HZF0SQUWP","Disagree",-5,False,-5,False,5,False,5,False
"(9, 0)",9449,"A3L9J8AER0FU3V","Disagree",-4,False,-5,False,-5,False,5,False
"(9, 0)",9449,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(1367, 5)",4808,"A3MFIGR75YVD9R","Disagree",0,True,0,True,-4,False,0,True
"(1367, 5)",4808,"AZ8RYHKONKOCB","Agree","","","","","","","",""
"(1367, 5)",4808,"AC8BGOG45QWA2","Disagree",-5,False,5,False,-5,False,5,False
"(1367, 5)",4808,"A2FDXVWVI05XA4","Disagree",-2,False,2,False,-2,False,3,False
"(1367, 5)",4808,"ASDKBXZBSJNZD","Disagree",0,False,4,False,-3,False,-2,False
"(1367, 5)",4808,"A3U56TETPW3V20","Disagree",-4,False,4,False,-4,False,4,False
"(1367, 5)",4808,"A1O4MYNYPVKEL6","Disagree",-4,False,4,False,-5,False,-4,False
"(1136, 1)",4129,"AHOU3VA400IOT","Disagree",2,False,1,False,-5,False,-5,False
"(1136, 1)",4129,"A18JQFU6QCTI6G","Disagree",5,False,2,False,-4,False,-3,False
"(1136, 1)",4129,"A3CT5E0WZJL8PG","Disagree",5,False,5,False,-5,False,-5,False
"(1136, 1)",4129,"A2VTDOJE2XP8TK","Disagree",-1,False,-2,False,-3,False,3,False
"(1136, 1)",4129,"AP1HCIYDB0OTX","Disagree",4,False,-2,False,-4,False,-4,False
"(1136, 1)",4129,"A1ILI24TOFSQRG","Disagree",4,False,-5,False,4,False,-2,False
"(1136, 1)",4129,"AZ8L0BT7XIALO","Agree","","","","","","","",""
"(848, 1)",5352,"A6Y7BLDK90Q19","Disagree",-1,False,-2,False,-1,False,1,False
"(848, 1)",5352,"A24N92D5WYPBBZ","Disagree",5,False,5,False,-5,False,-5,False
"(848, 1)",5352,"A6Y7BLDK90Q19","Agree","","","","","","","",""
"(848, 1)",5352,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(848, 1)",5352,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(848, 1)",5352,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(1392, 0)",4337,"A12ICZKU7N5NJZ","Agree","","","","","","","",""
"(1392, 0)",4337,"A1XXMVPHRKUTAH","Agree","","","","","","","",""
"(1392, 0)",4337,"A3R33E8B2QJ1KG","Disagree",-5,False,-2,False,5,False,2,False
"(1392, 0)",4337,"A2QTARMOEUQMF1","Disagree",4,False,-5,False,5,False,4,False
"(1392, 0)",4337,"A2L0IEVY20A44R","Disagree",-3,False,-5,False,3,False,0,True
"(1392, 0)",4337,"AYS3A8M6MIIJI","Agree","","","","","","","",""
"(1392, 0)",4337,"A1BS484S0O76YT","Agree","","","","","","","",""
"(1392, 0)",4337,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(1111, 0)",12041,"A2HUSOVMMRJNNX","Disagree",3,False,-4,False,4,False,4,False
"(1111, 0)",12041,"A1HBION4Y5FN4S","Disagree",-4,False,-4,False,3,False,-4,False
"(1111, 0)",12041,"AZ8L0BT7XIALO","Disagree",-3,False,1,False,-1,False,2,False
"(1111, 0)",12041,"A1RY9A4SCOR7RX","Agree","","","","","","","",""
"(1111, 0)",12041,"A1HVEW7DUNZULN","Disagree",0,False,-5,False,-5,False,-5,False
"(247, 1)",4240,"A19FRD1IDZ65FW","Agree","","","","","","","",""
"(247, 1)",4240,"A36CP7G5OZY030","Agree","","","","","","","",""
"(247, 1)",4240,"A3FM3KWYVBBZ15","Disagree",-5,False,5,False,-5,False,2,False
"(247, 1)",4240,"A3IJI5VFWLI7DA","Disagree",-5,False,0,False,-5,False,0,False
"(247, 1)",4240,"A1BEOLWSEW3PCC","Disagree",2,False,5,False,-5,False,2,False
"(247, 1)",4240,"A1V2JY1MJ4P6CF","Disagree",-2,False,-3,False,3,False,-2,False
"(1333, 6)",3716,"A2O9ZPGNNBSH00","Disagree",-3,False,-3,False,0,False,3,False
"(1333, 6)",3716,"A2MR259UZRESDS","Agree","","","","","","","",""
"(1333, 6)",3716,"A1U00BDONXG17C","Disagree",-5,False,-4,False,-3,False,5,False
"(1333, 6)",3716,"A1XXMVPHRKUTAH","Agree","","","","","","","",""
"(1333, 6)",3716,"A2FDXVWVI05XA4","Disagree",3,False,-3,False,-3,False,4,False
"(1333, 6)",3716,"A37XVHGR4ZSTSM","Disagree",3,False,3,False,-2,False,4,False
"(1333, 6)",3716,"A3KQILEDGLONAQ","Disagree",-4,False,5,False,-5,False,1,False
"(160, 3)",9978,"A1H315JJUL7CWD","Disagree",-5,False,-5,False,-5,False,-3,False
"(160, 3)",9978,"A1IMICF9ISISZN","Agree","","","","","","","",""
"(160, 3)",9978,"A257RUEHW9EM1V","Disagree",4,False,-4,False,2,False,1,False
"(160, 3)",9978,"AV43CKN5RKCHU","Disagree",3,False,-2,False,-3,False,-2,False
"(160, 3)",9978,"A2FZM7ZDCLPMCF","Agree","","","","","","","",""
"(1278, 3)",228,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(1278, 3)",228,"AV8SVCVP9V5BK","Agree","","","","","","","",""
"(1278, 3)",228,"AIY8WQZDKMD5C","Disagree",-2,False,-3,False,-3,False,1,False
"(1278, 3)",228,"A2P8XDALGST5YT","Agree","","","","","","","",""
"(592, 6)",9444,"A7ZOVHE48L7RS","Agree","","","","","","","",""
"(592, 6)",9444,"A3REACW4F63U3N","Disagree",4,False,-5,False,2,False,5,False
"(592, 6)",9444,"A3C9A382KUWMS0","Disagree",5,False,5,False,-5,False,0,False
"(592, 6)",9444,"A2B4NV9KGZB6CP","Disagree",-4,False,-3,False,-3,False,3,False
"(592, 6)",9444,"A21IH68UHX9ENO","Disagree",2,False,-3,False,-1,False,2,False
"(592, 6)",9444,"A2NOUY4UFZODDK","Disagree",-3,False,0,False,-1,False,2,False
"(592, 6)",9444,"A2M6B4T35HDKMZ","Agree","","","","","","","",""
"(645, 4)",11518,"A6Y7BLDK90Q19","Agree","","","","","","","",""
"(645, 4)",11518,"A1KEURR4Z7DXX","Disagree",-4,False,-3,False,2,False,2,False
"(645, 4)",11518,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(645, 4)",11518,"A1B2KIB7DPC2PR","Disagree",-3,False,3,False,-2,False,3,False
"(645, 4)",11518,"A3R467YDQ1C8VG","Disagree",4,False,-4,False,-3,False,4,False
"(645, 4)",11518,"A1BS484S0O76YT","Disagree",-3,False,2,False,-4,False,3,False
"(830, 0)",10228,"A2TSN533LXI6S4","Disagree",-3,False,2,False,2,False,2,False
"(830, 0)",10228,"ASX2NOUVA9CRH","Disagree",3,False,-3,False,2,False,3,False
"(830, 0)",10228,"A13ZLTV0I0UG4D","Disagree",-3,False,-3,False,0,False,3,False
"(830, 0)",10228,"A37XVHGR4ZSTSM","Disagree",5,False,-3,False,-3,False,-3,False
"(830, 0)",10228,"A2UVWBMB5V045G","Disagree",-3,False,-1,False,-4,False,3,False
"(830, 0)",10228,"A6Y7BLDK90Q19","Agree","","","","","","","",""
"(1077, 1)",3467,"A2Q3ZPCNE2EOAO","Disagree",-5,False,5,False,3,False,5,False
"(1077, 1)",3467,"A3L9J8AER0FU3V","Disagree",-4,False,-4,False,-5,False,5,False
"(1077, 1)",3467,"A1B2KIB7DPC2PR","Agree","","","","","","","",""
"(1077, 1)",3467,"A37XVHGR4ZSTSM","Disagree",-5,False,-3,False,-4,False,-1,False
"(1077, 1)",3467,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(213, 2)",3859,"AHH34KPTA2LSS","Agree","","","","","","","",""
"(213, 2)",3859,"A3EJ1GAXN15PFB","Agree","","","","","","","",""
"(213, 2)",3859,"A12AICIWGAEUPU","Agree","","","","","","","",""
"(213, 2)",3859,"A29GGSOI4YN32G","Agree","","","","","","","",""
"(213, 2)",3859,"A3DSRQ5CBK6G3U","Agree","","","","","","","",""
"(213, 2)",3859,"A1A7QL3AOOQ4CS","Agree","","","","","","","",""
"(213, 2)",3859,"A3D1E4E0Y2MN5F","Disagree",1,False,-1,False,1,False,1,False
"(142, 6)",12430,"A3DSRQ5CBK6G3U","Agree","","","","","","","",""
"(142, 6)",12430,"A1B2KIB7DPC2PR","Disagree",1,False,2,False,1,False,-1,False
"(142, 6)",12430,"A2VWJTNC4OKNI7","Agree","","","","","","","",""
"(142, 6)",12430,"A14NJ0E25UM25Q","Agree","","","","","","","",""
"(142, 6)",12430,"A6Y7BLDK90Q19","Disagree",0,False,0,False,0,False,1,False
"(574, 5)",5769,"A1UDQV4PUFYPKN","Agree","","","","","","","",""
"(574, 5)",5769,"A5379LUINT3PC","Agree","","","","","","","",""
