"discussion_id","old_discussion_id"
2,3017
3,403
4,5983
7,5647
8,9828
9,9329
10,7288
11,8263
12,10834
13,5785
14,1923
15,8316
16,342
17,427
18,7872
19,7934
20,8708
21,2816
22,542
23,8513
24,3494
25,5801
26,378
27,10098
28,7722
29,1847
30,7096
31,10128
32,5120
33,2118
34,9450
35,7264
36,2400
37,6644
38,8600
39,5269
40,9211
41,10133
42,3347
43,4648
44,5205
45,3410
46,10841
47,4822
48,10132
49,1175
50,2804
51,4635
52,1546
53,664
54,6271
55,10979
56,2002
57,7305
58,4141
59,475
60,1961
61,5228
62,4417
63,2151
64,7076
65,4906
66,8851
67,115
68,1388
69,5708
70,4303
71,9731
72,10420
73,7099
74,1702
75,2467
76,8732
77,406
78,5598
79,4798
80,5226
81,4695
82,251
83,6890
84,8579
85,8740
86,5702
87,479
88,1379
89,8649
90,4428
91,2391
92,1940
93,8407
94,6041
95,1700
96,10513
97,10415
98,7297
99,9860
100,1190
101,4257
102,1530
103,4698
104,6050
105,7984
106,3194
107,4785
108,316
109,1008
110,1239
111,3497
113,3676
115,9445
116,1638
117,3752
118,3351
119,6977
123,5873
124,4735
125,3782
126,5733
128,10944
129,5992
133,7383
134,5813
135,667
136,9952
137,4224
141,10008
145,10052
149,5996
150,9677
152,5678
153,93
158,10105
162,5157
164,8233
165,9240
167,11029
168,221
170,154
173,10180
174,2824
175,1123
176,6217
177,617
178,10882
180,4538
182,4838
183,7112
184,3485
185,7595
188,7218
190,8218
192,6412
193,6646
195,2091
197,5857
199,3772
205,11040
206,10637
208,5530
209,11037
210,4786
211,2697
212,10939
213,9659
215,2586
221,4833
225,8968
226,8567
227,5917
228,3825
232,1537
233,467
237,6024
238,5610
239,10483
240,371
242,6531
247,3764
248,4374
250,5356
253,9949
254,4312
255,6007
257,1057
260,4501
261,1616
264,1361
269,4576
271,3964
272,389
274,6156
278,8070
282,10078
286,2331
287,2932
288,6054
293,10111
294,1014
295,10171
301,6432
303,8148
308,10063
310,7241
311,3827
312,7918
313,4468
314,1144
316,3029
318,6981
319,9297
321,8176
324,4759
325,6084
326,6477
327,3854
328,2806
329,1506
330,4711
337,8918
339,9126
340,3757
343,7882
344,2828
345,10422
346,6256
347,8068
351,6874
352,9895
353,10971
354,898
355,7100
356,1074
357,4347
358,121
359,3529
360,244
361,6120
364,3327
365,4385
367,614
368,5712
369,5579
370,8993
371,10767
372,439
373,3677
373,9962
375,3395
376,7109
378,4060
379,8077
382,374
383,9399
384,3817
385,9416
386,1449
387,4869
388,9160
390,1354
391,8065
393,841
394,1040
395,2714
396,4813
397,909
398,8719
399,10313
400,472
401,1468
407,2089
409,8540
412,3492
413,4836
414,10330
