"discussion_id","topic"
4," ""communism vs capitalism"""
7," ""abortion"""
8," ""abortion"""
9," ""abortion"""
10," ""abortion"""
11," ""abortion"""
12," ""evolution"""
13," ""evolution"""
14," ""evolution"""
15," ""evolution"""
16," ""evolution"""
17," ""evolution"""
18," ""evolution"""
19," ""evolution"""
20," ""evolution"""
21," ""evolution"""
22," ""death penalty"""
33," ""climate change"""
34," ""climate change"""
41," ""gay marriage"""
46," ""gun control"""
47," ""gun control"""
48," ""gun control"""
49," ""gun control"""
50," ""gun control"""
51," ""gun control"""
52," ""gun control"""
53," ""gun control"""
54," ""gun control"""
55," ""gun control"""
56," ""gun control"""
57," ""gun control"""
58," ""gun control"""
59," ""gun control"""
60," ""gun control"""
62," ""marijuana legalization"""
64," ""healthcare"""
65," ""healthcare"""
67," ""healthcare"""
68," ""healthcare"""
93," ""evolution"""
94," ""communism vs capitalism"""
95," ""evolution"""
100," ""abortion"""
102," ""evolution"""
104," ""communism vs capitalism"""
105," ""evolution"""
107," ""evolution"""
108," ""evolution"""
113," ""evolution"""
118," ""death penalty"""
135," ""evolution"""
152," ""gun control"""
153," ""gun control"""
158," ""gun control"""
188," ""evolution"""
190," ""evolution"""
195," ""existence of God"""
199," ""existence of God"""
210," ""gun control"""
211," ""abortion"""
226," ""communism vs capitalism"""
227," ""gun control"""
228," ""evolution"""
240," ""gun control"""
248," ""evolution"""
250," ""gun control"""
255," ""evolution"""
260," ""existence of God"""
261," ""evolution"""
271," ""evolution"""
274," ""gun control"""
282," ""healthcare"""
293," ""gun control"""
294," ""gun control"""
310," ""gun control"""
312," ""evolution"""
313," ""abortion"""
319," ""gun control"""
327," ""evolution"""
337," ""abortion"""
339," ""evolution"""
343," ""gun control"""
347," ""abortion"""
379," ""evolution"""
388," ""abortion"""
390," ""climate change"""
393," ""evolution"""
394," ""evolution"""
397," ""communism vs capitalism"""
401," ""evolution"""
409," ""gay marriage"""
448," ""evolution"""
449," ""gun control"""
460," ""abortion"""
465," ""evolution"""
468," ""gun control"""
472," ""evolution"""
474," ""evolution"""
493," ""evolution"""
495," ""existence of God"""
496," ""evolution"""
502," ""evolution"""
504," ""gun control"""
506," ""gun control"""
511," ""evolution"""
513," ""evolution"""
518," ""gun control"""
537," ""existence of God"""
549," ""evolution"""
553," ""gun control"""
554," ""abortion"""
556," ""gun control"""
563," ""evolution"""
564," ""gun control"""
567," ""gun control"""
568," ""gun control"""
572," ""abortion"""
576," ""evolution"""
585," ""evolution"""
587," ""gun control"""
591," ""gun control"""
592," ""gun control"""
594," ""gun control"""
606," ""gun control"""
613," ""gun control"""
622," ""gun control"""
625," ""evolution"""
629," ""evolution"""
630," ""gun control"""
638," ""gay marriage"""
639," ""gun control"""
654," ""abortion"""
659," ""evolution"""
663," ""evolution"""
664," ""evolution"""
665," ""evolution"""
671," ""evolution"""
677," ""evolution"""
687," ""gun control"""
689," ""evolution"""
697," ""gun control"""
707," ""evolution"""
708," ""evolution"""
710," ""evolution"""
711," ""evolution"""
712," ""evolution"""
718," ""evolution"""
725," ""gun control"""
729," ""gun control"""
741," ""abortion"""
742," ""evolution"""
743," ""evolution"""
746," ""evolution"""
758," ""evolution"""
760," ""abortion"""
761," ""evolution"""
771," ""abortion"""
772," ""evolution"""
775," ""evolution"""
782," ""evolution"""
787," ""evolution"""
788," ""gun control"""
798," ""gun control"""
799," ""gun control"""
805," ""gun control"""
811," ""evolution"""
813," ""gay marriage"""
819," ""evolution"""
820," ""existence of God"""
821," ""climate change"""
834," ""gun control"""
858," ""gun control"""
859," ""evolution"""
860," ""abortion"""
864," ""evolution"""
869," ""communism vs capitalism"""
875," ""gun control"""
887," ""evolution"""
891," ""existence of God"""
893," ""gun control"""
898," ""climate change"""
901," ""gun control"""
908," ""evolution"""
913," ""gun control"""
914," ""gun control"""
923," ""gun control"""
925," ""existence of God"""
927," ""evolution"""
934," ""abortion"""
941," ""gun control"""
947," ""gun control"""
948," ""gun control"""
949," ""evolution"""
952," ""evolution"""
957," ""evolution"""
958," ""evolution"""
959," ""evolution"""
960," ""evolution"""
961," ""evolution"""
962," ""evolution"""
964," ""evolution"""
966," ""evolution"""
975," ""evolution"""
979," ""evolution"""
980," ""gun control"""
988," ""evolution"""
994," ""evolution"""
999," ""evolution"""
1000," ""evolution"""
1014," ""evolution"""
1018," ""gun control"""
1019," ""gun control"""
1029," ""evolution"""
1032," ""gun control"""
1037," ""gun control"""
1041," ""evolution"""
1046," ""gun control"""
1047," ""communism vs capitalism"""
1054," ""existence of God"""
1056," ""gun control"""
1067," ""gun control"""
1070," ""gun control"""
1071," ""gun control"""
1073," ""gun control"""
1075," ""abortion"""
1081," ""gun control"""
1087," ""gun control"""
1088," ""gun control"""
1094," ""gun control"""
1102," ""gun control"""
1103," ""gun control"""
1110," ""gun control"""
1117," ""abortion"""
1121," ""abortion"""
1122," ""gun control"""
1124," ""gun control"""
1130," ""gun control"""
1147," ""gun control"""
1167," ""abortion"""
1182," ""gun control"""
1188," ""gun control"""
1194," ""abortion"""
1196," ""abortion"""
1197," ""abortion"""
1200," ""abortion"""
1204," ""evolution"""
1205," ""gun control"""
1207," ""existence of God"""
1208," ""evolution"""
1210," ""climate change"""
1211," ""abortion"""
1213," ""gun control"""
1217," ""abortion"""
1220," ""evolution"""
1226," ""gun control"""
1227," ""gun control"""
1234," ""abortion"""
1256," ""evolution"""
1257," ""evolution"""
1261," ""gun control"""
1271," ""gun control"""
1276," ""gun control"""
1284," ""abortion"""
1286," ""existence of God"""
1287," ""abortion"""
1293," ""abortion"""
